location,entity,field,requirement_source,purpose,sensitivity,owner,retention,export,deletion,privacy_category
local,sync_operations,updatedAt,DATA-SYNC-001,state transition instant,internal metadata,profile,until acknowledged/bounded cleanup,exclude,delete after completion,other data
local,entity_revisions,profileID,DATA-SYNC-001,revision ownership,internal identifier,profile,until entity purge,exclude,delete cascade,user id
local,entity_revisions,entityType,DATA-SYNC-001,revision namespace,internal metadata,profile,until entity purge,exclude,delete with entity,other data
local,entity_revisions,entityID,DATA-SYNC-001,revision target,internal identifier,profile,until entity purge,exclude,delete with entity,user id
local,entity_revisions,localRevision,DATA-SYNC-001,local causal version,internal metadata,profile,until entity purge,exclude,delete with entity,other data
local,entity_revisions,acknowledgedRemoteRevision,DATA-SYNC-001,remote precondition,internal metadata,profile,until entity purge,exclude,delete with entity,other data
local,entity_revisions,lastRemoteMutationID,DATA-SYNC-001,stale response rejection,internal identifier,profile,until entity purge,exclude,delete with entity,user id
local,deletion_tombstones,id,DELETE-001,stable deletion fact,internal identifier,profile,ack plus 30 days,exclude,purge after acknowledgment,user id
local,deletion_tombstones,profileID,DELETE-001,deletion ownership,internal identifier,profile,ack plus 30 days,exclude,delete cascade,user id
local,deletion_tombstones,entityType,DELETE-001,deleted namespace,internal metadata,profile,ack plus 30 days,exclude,purge after acknowledgment,other data
local,deletion_tombstones,entityID,DELETE-001,deleted stable key,internal identifier,profile,ack plus 30 days,exclude,purge after acknowledgment,user id
local,deletion_tombstones,deletedRevision,DELETE-001,prevent resurrection,internal metadata,profile,ack plus 30 days,exclude,purge after acknowledgment,other data
local,deletion_tombstones,deletedAt,DELETE-001,deletion instant,internal metadata,profile,ack plus 30 days,exclude,purge after acknowledgment,other data
local,deletion_tombstones,acknowledgedAt,DELETE-001,remote acknowledgment,internal metadata,profile,ack plus 30 days,exclude,purge after acknowledgment,other data
local,deletion_tombstones,purgeAfter,DELETE-001,bounded final purge,internal metadata,profile,ack plus 30 days,exclude,purge on due date,other data
local,policy_notices,profileID,PRIV-001,notice ownership,identifier,profile,until profile deletion,include,delete cascade,user id
local,policy_notices,noticeKind,PRIV-001,notice identity,metadata,product owner,until superseded,include,delete cascade,other data
local,policy_notices,version,PRIV-001,accepted notice version,metadata,product owner,until superseded,include,delete cascade,other data
local,policy_notices,seenAt,PRIV-001,acknowledgment instant,metadata,profile,until superseded,include,delete cascade,other data
local,export_metadata,id,EXPORT-001,export operation key,internal identifier,profile,24 hours,exclude,purge with file,user id
local,export_metadata,profileID,EXPORT-001,export ownership,internal identifier,profile,24 hours,exclude,purge with file,user id
local,export_metadata,generatedAt,EXPORT-001,manifest generation instant,metadata,profile,24 hours,include in manifest,purge with file,other data
local,export_metadata,expiresAt,EXPORT-001,bounded cleanup instant,metadata,profile,24 hours,include in manifest,purge with file,other data
local,export_metadata,scope,EXPORT-001,export reconciliation scope,metadata,profile,24 hours,include in manifest,purge with file,other data
local,export_metadata,manifestVersion,EXPORT-001,export compatibility,metadata,product owner,24 hours,include in manifest,purge with file,other data
local,conversion_checkpoints,conversionID,AUTH-001,idempotent conversion key,internal identifier,profile,until linked/cancelled,exclude,delete on completion/cancel,user id
local,conversion_checkpoints,profileID,AUTH-001,conversion ownership,internal identifier,profile,until linked/cancelled,exclude,delete on completion/cancel,user id
local,conversion_checkpoints,expectedUserID,AUTH-001,wrong-user prevention,account,authenticated user,until linked/cancelled,exclude,delete on completion/cancel,user id
local,conversion_checkpoints,state,AUTH-001,resumable conversion state,internal metadata,profile,until linked/cancelled,exclude,delete on completion/cancel,other data
local,conversion_checkpoints,mergeChoice,DATA-SYNC-001,explicit merge decision,preference,profile,until linked/cancelled,exclude,delete on completion/cancel,other user content
local,conversion_checkpoints,startedAt,AUTH-001,conversion start instant,metadata,profile,until linked/cancelled,exclude,delete on completion/cancel,other data
local,conversion_checkpoints,updatedAt,AUTH-001,conversion recovery instant,metadata,profile,until linked/cancelled,exclude,delete on completion/cancel,other data
remote,all_user_tables,owner_user_id,AUTH-001,RLS ownership authority,account,authenticated user,until account deletion,profile owner only,delete cascade,user id
remote,app_profiles,id|profile_created_at|revision|server_updated_at,DATA-SYNC-001,account profile synchronization,identifier and metadata,authenticated user,until account deletion,profile subset,delete cascade,user id
remote,app_settings,id|preferred_grounding_asset_id|preferred_modality|haptics_enabled|revision|server_updated_at,DATA-SYNC-001,settings synchronization,preferences,authenticated user,until account deletion,settings subset,delete cascade,other user content
remote,alarm_preferences,id|local_hour|local_minute|weekdays_mask|snooze_minutes|enabled_intent|revision|server_updated_at,ALARM-001,alarm intent synchronization,schedule,authenticated user,until deletion/account deletion,alarm subset,delete/tombstone,other user content
remote,submitted_checkins,id|reported_for_local_date|reported_timezone_id|occurrence|perceived_intensity|present_state|note|created_at|updated_at|revision|deleted_at|server_updated_at,CHECKIN-001,submitted record synchronization,health and sensitive content,authenticated user,until deletion/purge,submitted records,delete/tombstone,health
remote,deletion_tombstones,id|entity_type|entity_id|deleted_revision|deleted_at|acknowledged_at|purge_after|server_updated_at,DELETE-001,prevent multi-device resurrection,internal deletion metadata,authenticated user,ack plus 30 days,exclude,purge after acknowledgment,other data
remote,mutation_receipts,id|idempotency_key|entity_type|entity_id|operation|base_revision|entity_revision|payload_hash|received_at|expires_at,DATA-SYNC-001,atomic replay protection,internal metadata,authenticated user,30 days,exclude,purge at expiry,other data
remote,account_deletion_audit,request_id|request_binding|completed_at|outcome|purge_after,DELETE-001,idempotent privileged deletion recovery,minimal opaque audit,system,30 days,exclude,purge at due date,other data
